IDlist	CATEGORY	GLOSS	GLOSS	VALUE	FORM	ID	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
95	corn	espiga	tassel, maize spike	yōkō							
183	property	sabroso	tasty, delicious	NA							
166	number	diez	ten	ùsù							
86	plant	espina	thorn	NA							
127	thing	hilo	thread	yī’à							
159	number	tres	three	ùnì							
106	food	tomate	tomato	tyīnānā			tones not sure				
21	body	lengua	tongue	yáá							
22	body	diente	tooth	nù’ū							
92	corn	tortilla	tortilla	xìtà							
80	plant	árbol, palo	tree	yītò							
168	number	veinte	twenty	òkò							
158	number	dos	two	èvè							
187	property	feo	ugly	kīnī							
12	kinship	tío	uncle	NA							
38	body	orina	urine	NA							
43	living	pueblo	village, town	ñūū							
67	animal	zopilote	vulture	NA							
137	nature	agua	water	tyíkuìí							
208	abstract	cuándo	when	NA							
156	color	blanco	white	kúsú							
184	property	ancho	wide	ndyíkà							
78	animal	ala	wing	ndyìsì							
14	person	mujer	woman	ñā’à							
205	abstract	palabra	word	tù’ūn							
204	abstract	trabajo	work	chīñō							
196	time	año	year	kuìyà							
154	color	amarillo	yellow	kuáán							
195	time	ayer	yesterday	kūnī							
